drug,question,model,run,answer,claims,hedges_llm,wrong_drug_refs,pi_verdict_llm,pi_verdict_reason,brand_verdict_llm,brand_verdict_reason,sharpness_score
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,1,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking the GLP-1 hormone, which helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. This can result in significant weight loss when combined with a reduced-calorie diet and increased physical activity.","Wegovy is a prescription medication that contains the active ingredient semaglutide.; Wegovy is used for chronic weight management in adults with obesity or overweight conditions.; It works by mimicking the GLP-1 hormone, which helps regulate appetite and food intake.; This can result in significant weight loss when combined with a reduced-calorie diet and increased physical activity.",,,aligned,"The answer accurately describes Wegovy's active ingredient, its use for weight management, and its mechanism of action.",owned,Wegovy is the brand name of the drug mentioned in the answer.,8
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,2,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It mimics a hormone called GLP-1 (glucagon-like peptide-1) that helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. By enhancing insulin secretion and decreasing glucagon levels, Wegovy also helps to improve metabolic health. It is typically used in conjunction with a reduced-calorie diet and increased physical activity.","Wegovy is a prescription medication that contains the active ingredient semaglutide.; Wegovy is used for weight management in adults with obesity or overweight conditions.; It mimics a hormone called GLP-1 (glucagon-like peptide-1) that helps regulate appetite and food intake.; Wegovy leads to reduced hunger and increased feelings of fullness.; By enhancing insulin secretion and decreasing glucagon levels, Wegovy helps to improve metabolic health.; It is typically used in conjunction with a reduced-calorie diet and increased physical activity.",,,aligned,The AI answer accurately reflects the indications and mechanism of action of Wegovy as described in the official PI.,owned,"Wegovy is the brand name of the drug semaglutide, which is correctly referenced in the answer.",9
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,3,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It works by mimicking the action of the GLP-1 hormone, which helps regulate appetite and food intake by promoting feelings of fullness, slowing gastric emptying, and decreasing hunger. This can lead to reduced calorie consumption and weight loss when combined with a reduced-calorie diet and increased physical activity.",Wegovy is a prescription medication that contains the active ingredient semaglutide.; Wegovy is used for weight management in adults with obesity or overweight conditions.; It works by mimicking the action of the GLP-1 hormone.; It helps regulate appetite and food intake by promoting feelings of fullness.; It slows gastric emptying.; It decreases hunger.; This can lead to reduced calorie consumption and weight loss when combined with a reduced-calorie diet and increased physical activity.,,,aligned,"The AI answer accurately describes Wegovy's active ingredient, indications, and mechanism of action as stated in the official PI.",owned,Wegovy is the brand name of the drug referenced in the answer.,9
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking a natural hormone that helps regulate appetite, leading to reduced hunger and increased feelings of fullness, which promotes weight loss when combined with a reduced-calorie diet and increased physical activity. This medication also slows gastric emptying and can improve blood sugar control.",Wegovy is a prescription medication containing semaglutide; semaglutide is a GLP-1 receptor agonist; Wegovy is approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions; It works by mimicking a natural hormone that helps regulate appetite; This medication leads to reduced hunger and increased feelings of fullness; This promotes weight loss when combined with a reduced-calorie diet and increased physical activity; This medication also slows gastric emptying; This medication can improve blood sugar control,,,aligned,The AI answer accurately reflects the indications and mechanism of action of Wegovy as stated in the official PI.,owned,"Wegovy is the brand name of the drug semaglutide, which is correctly referenced in the answer.",9
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved for chronic weight management in adults with obesity or overweight conditions along with weight-related medical problems. It works by mimicking a natural hormone that regulates appetite, helping to reduce hunger, increase feelings of fullness, and slow gastric emptying, which leads to lower calorie intake and weight loss. This medication should be used as part of a comprehensive program that includes diet and exercise.","Wegovy is a prescription medication containing semaglutide; semaglutide is a GLP-1 receptor agonist; Wegovy is approved for chronic weight management in adults with obesity or overweight conditions along with weight-related medical problems; It works by mimicking a natural hormone that regulates appetite; It helps to reduce hunger, increase feelings of fullness, and slow gastric emptying; This medication should be used as part of a comprehensive program that includes diet and exercise",,,aligned,The AI answer accurately reflects the indications and usage of Wegovy as stated in the official PI.,owned,Wegovy is correctly identified as a brand name for semaglutide.,9
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist, primarily used for chronic weight management in adults with obesity or overweight conditions accompanied by weight-related health issues. It works by mimicking the hormone GLP-1, which helps reduce appetite, slow gastric emptying, and regulate blood sugar levels, ultimately promoting weight loss. Wegovy should be used in combination with a reduced-calorie diet and increased physical activity for optimal results.",Wegovy is a prescription medication containing semaglutide; Wegovy is a GLP-1 receptor agonist; Wegovy is primarily used for chronic weight management in adults with obesity or overweight conditions accompanied by weight-related health issues; Wegovy works by mimicking the hormone GLP-1; Wegovy helps reduce appetite; Wegovy slows gastric emptying; Wegovy regulates blood sugar levels; Wegovy promotes weight loss; Wegovy should be used in combination with a reduced-calorie diet and increased physical activity for optimal results,,,aligned,The AI answer accurately reflects the indications and mechanism of action of Wegovy as stated in the official PI.,owned,Wegovy is correctly identified as a brand name for semaglutide.,9
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking a natural hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a weekly injection under the skin, and is typically used alongside diet and exercise changes for weight loss.","Wegovy is a prescription medication containing semaglutide; Wegovy is a GLP-1 receptor agonist used for chronic weight management in adults with obesity or overweight conditions; It works by mimicking a natural hormone that regulates appetite and blood sugar; It helps to reduce hunger, increase feelings of fullness, and lower food cravings; The medication is administered as a weekly injection under the skin; It is typically used alongside diet and exercise changes for weight loss",,,aligned,"The AI answer accurately describes Wegovy's indications, mechanism of action, administration, and use in conjunction with diet and exercise.",owned,Wegovy is a brand name owned by the manufacturer of semaglutide for the specified indications.,9
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for weight management in adults with obesity or overweight conditions with weight-related health issues. It works by mimicking a hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower calorie intake. The medication is administered as a weekly injection and is typically used alongside diet and exercise changes. It was approved by the FDA in 2021 specifically for chronic weight management.","Wegovy is a prescription medication containing semaglutide; semaglutide is a GLP-1 receptor agonist; Wegovy is used for weight management in adults with obesity or overweight conditions with weight-related health issues; It works by mimicking a hormone that regulates appetite and blood sugar; It helps to reduce hunger, increase feelings of fullness, and lower calorie intake; The medication is administered as a weekly injection; It is typically used alongside diet and exercise changes; It was approved by the FDA in 2021 specifically for chronic weight management",,,aligned,The AI answer accurately reflects the indications and usage of Wegovy as stated in the official PI.,owned,"Wegovy is the brand name of the drug semaglutide, which is correctly referenced in the answer.",9
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking glucagon-like peptide-1 (GLP-1), a natural hormone that regulates appetite and blood sugar levels, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a once-weekly injection and is typically used alongside diet and exercise modifications for optimal results.","Wegovy is a prescription medication containing semaglutide; semaglutide is a GLP-1 receptor agonist; Wegovy is approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions; It works by mimicking glucagon-like peptide-1 (GLP-1), a natural hormone that regulates appetite and blood sugar levels; It helps to reduce hunger, increase feelings of fullness, and lower food cravings; The medication is administered as a once-weekly injection; It is typically used alongside diet and exercise modifications for optimal results",,,aligned,The AI answer accurately reflects the indications and usage of Wegovy as stated in the official PI.,owned,"Wegovy is the brand name of the drug semaglutide, which is correctly referenced in the answer.",9
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,1,"Patients using Wegovy (semaglutide) can experience significant weight loss, with clinical trials showing an average reduction of approximately 15-20% of body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity. Individual results may vary based on factors such as adherence to treatment and lifestyle changes.",Patients using Wegovy (semaglutide) can experience significant weight loss; clinical trials showing an average reduction of approximately 15-20% of body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity; Individual results may vary based on factors such as adherence to treatment and lifestyle changes,may,,aligned,The claims about weight loss and the need for a reduced-calorie diet and increased physical activity are consistent with the official prescribing information.,owned,"Wegovy is the brand name for semaglutide, which is correctly referenced in the answer.",8
