drug,question,model,run,answer,correct_drug,wrong_drug,competitor_mention,extracted_pcts,number_accurate,hedge_count,approval_flag,approval_correct,entity_verdict
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,1,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking the GLP-1 hormone, which helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. This can result in significant weight loss when combined with a reduced-calorie diet and increased physical activity.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,2,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It mimics a hormone called GLP-1 (glucagon-like peptide-1) that helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. By enhancing insulin secretion and decreasing glucagon levels, Wegovy also helps to improve metabolic health. It is typically used in conjunction with a reduced-calorie diet and increased physical activity.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,3,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It works by mimicking the action of the GLP-1 hormone, which helps regulate appetite and food intake by promoting feelings of fullness, slowing gastric emptying, and decreasing hunger. This can lead to reduced calorie consumption and weight loss when combined with a reduced-calorie diet and increased physical activity.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking a natural hormone that helps regulate appetite, leading to reduced hunger and increased feelings of fullness, which promotes weight loss when combined with a reduced-calorie diet and increased physical activity. This medication also slows gastric emptying and can improve blood sugar control.",True,,False,,,0,False,True,clean
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved for chronic weight management in adults with obesity or overweight conditions along with weight-related medical problems. It works by mimicking a natural hormone that regulates appetite, helping to reduce hunger, increase feelings of fullness, and slow gastric emptying, which leads to lower calorie intake and weight loss. This medication should be used as part of a comprehensive program that includes diet and exercise.",True,,False,,,0,False,True,clean
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist, primarily used for chronic weight management in adults with obesity or overweight conditions accompanied by weight-related health issues. It works by mimicking the hormone GLP-1, which helps reduce appetite, slow gastric emptying, and regulate blood sugar levels, ultimately promoting weight loss. Wegovy should be used in combination with a reduced-calorie diet and increased physical activity for optimal results.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking a natural hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a weekly injection under the skin, and is typically used alongside diet and exercise changes for weight loss.",True,,False,,,0,False,,clean
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for weight management in adults with obesity or overweight conditions with weight-related health issues. It works by mimicking a hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower calorie intake. The medication is administered as a weekly injection and is typically used alongside diet and exercise changes. It was approved by the FDA in 2021 specifically for chronic weight management.",True,,False,,,0,False,True,clean
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking glucagon-like peptide-1 (GLP-1), a natural hormone that regulates appetite and blood sugar levels, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a once-weekly injection and is typically used alongside diet and exercise modifications for optimal results.",True,,False,,,0,False,True,clean
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,1,"Patients using Wegovy (semaglutide) can experience significant weight loss, with clinical trials showing an average reduction of approximately 15-20% of body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity. Individual results may vary based on factors such as adherence to treatment and lifestyle changes.",True,,False,15.0|20.0,True,1,False,,clean
