drug,question,model,run,answer,top_label,top_score,second_label,second_score,specificity,score_efficacy_claim,score_safety_claim,score_comparative_claim,score_hedge_or_speculation,score_dosing_information,score_approval_status
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,1,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking the GLP-1 hormone, which helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. This can result in significant weight loss when combined with a reduced-calorie diet and increased physical activity.",efficacy claim,0.9044,comparative claim,0.7912,specific,0.9044,0.3939,0.7912,0.0319,0.487,0.412
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,2,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It mimics a hormone called GLP-1 (glucagon-like peptide-1) that helps regulate appetite and food intake, leading to reduced hunger and increased feelings of fullness. By enhancing insulin secretion and decreasing glucagon levels, Wegovy also helps to improve metabolic health. It is typically used in conjunction with a reduced-calorie diet and increased physical activity.",efficacy claim,0.9149,comparative claim,0.8398,specific,0.9149,0.445,0.8398,0.0373,0.6722,0.5221
Wegovy,What is Wegovy and how does it work?,openai/gpt-4o-mini,3,"Wegovy is a prescription medication that contains the active ingredient semaglutide, which is used for weight management in adults with obesity or overweight conditions. It works by mimicking the action of the GLP-1 hormone, which helps regulate appetite and food intake by promoting feelings of fullness, slowing gastric emptying, and decreasing hunger. This can lead to reduced calorie consumption and weight loss when combined with a reduced-calorie diet and increased physical activity.",efficacy claim,0.9342,comparative claim,0.8311,specific,0.9342,0.4939,0.8311,0.0417,0.6292,0.4555
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking a natural hormone that helps regulate appetite, leading to reduced hunger and increased feelings of fullness, which promotes weight loss when combined with a reduced-calorie diet and increased physical activity. This medication also slows gastric emptying and can improve blood sugar control.",approval status,0.9637,efficacy claim,0.9467,specific,0.9467,0.5773,0.8492,0.0537,0.4898,0.9637
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved for chronic weight management in adults with obesity or overweight conditions along with weight-related medical problems. It works by mimicking a natural hormone that regulates appetite, helping to reduce hunger, increase feelings of fullness, and slow gastric emptying, which leads to lower calorie intake and weight loss. This medication should be used as part of a comprehensive program that includes diet and exercise.",approval status,0.9644,efficacy claim,0.8885,specific,0.8885,0.4876,0.8246,0.023,0.5188,0.9644
Wegovy,What is Wegovy and how does it work?,x-ai/grok-3-mini,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist, primarily used for chronic weight management in adults with obesity or overweight conditions accompanied by weight-related health issues. It works by mimicking the hormone GLP-1, which helps reduce appetite, slow gastric emptying, and regulate blood sugar levels, ultimately promoting weight loss. Wegovy should be used in combination with a reduced-calorie diet and increased physical activity for optimal results.",efficacy claim,0.9206,comparative claim,0.8115,specific,0.9206,0.4914,0.8115,0.0647,0.5717,0.5169
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,1,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for chronic weight management in adults with obesity or overweight conditions. It works by mimicking a natural hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a weekly injection under the skin, and is typically used alongside diet and exercise changes for weight loss.",efficacy claim,0.8952,comparative claim,0.8508,specific,0.8952,0.5046,0.8508,0.0586,0.7536,0.5056
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,2,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist used for weight management in adults with obesity or overweight conditions with weight-related health issues. It works by mimicking a hormone that regulates appetite and blood sugar, helping to reduce hunger, increase feelings of fullness, and lower calorie intake. The medication is administered as a weekly injection and is typically used alongside diet and exercise changes. It was approved by the FDA in 2021 specifically for chronic weight management.",efficacy claim,0.8681,comparative claim,0.8566,specific,0.8681,0.5458,0.8566,0.1827,0.8085,0.8389
Wegovy,What is Wegovy and how does it work?,anthropic/claude-haiku-4-5,3,"Wegovy is a prescription medication containing semaglutide, a GLP-1 receptor agonist approved by the FDA for chronic weight management in adults with obesity or overweight with weight-related conditions. It works by mimicking glucagon-like peptide-1 (GLP-1), a natural hormone that regulates appetite and blood sugar levels, helping to reduce hunger, increase feelings of fullness, and lower food cravings. The medication is administered as a once-weekly injection and is typically used alongside diet and exercise modifications for optimal results.",approval status,0.9221,efficacy claim,0.9108,specific,0.9108,0.5767,0.8642,0.0824,0.8069,0.9221
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,1,"Patients using Wegovy (semaglutide) can experience significant weight loss, with clinical trials showing an average reduction of approximately 15-20% of body weight over 68 weeks when combined with a reduced-calorie diet and increased physical activity. Individual results may vary based on factors such as adherence to treatment and lifestyle changes.",efficacy claim,0.9652,comparative claim,0.9597,specific,0.9652,0.3578,0.9597,0.2714,0.4898,0.2977
